subject	../../../mgi_import_qc/11_11_2021/go_cam_mgi_file1.gpad	../../../mgi_import_qc/11_11_2021/noctua_merged_file2.gpad
MGI:1914267	1	0
MGI:1914276	1	0
MGI:1914283	8	0
MGI:1914286	2	1
MGI:1914294	4	3
MGI:1914305	8	7
MGI:1914308	3	0
MGI:1914312	3	0
MGI:1914330	2	0
MGI:1914331	3	0
MGI:1914332	3	0
MGI:1914335	3	0
MGI:1914336	3	0
MGI:1914351	3	0
MGI:1914369	3	0
MGI:1914370	3	1
MGI:1914374	3	0
MGI:1914375	1	0
MGI:1914379	3	0
MGI:1914386	3	0
MGI:1914389	3	2
MGI:1914392	3	0
MGI:1914408	1	0
MGI:1914420	3	0
MGI:1914421	1	0
MGI:1914428	1	0
MGI:1914437	5	3
MGI:1914444	3	0
MGI:1914448	1	0
MGI:1914450	2	0
MGI:1914456	3	0
MGI:1914467	1	0
MGI:1914468	3	0
MGI:1914473	1	0
MGI:1914476	2	0
MGI:1914478	2	0
MGI:1914484	3	0
MGI:1914486	3	0
MGI:1914499	3	0
MGI:1914506	3	0
MGI:1914511	3	0
MGI:1914525	2	0
MGI:1914527	3	0
MGI:1914530	3	0
MGI:1914532	2	1
MGI:1914538	3	0
MGI:1914539	3	0
MGI:1914540	2	0
MGI:1914541	1	0
MGI:1914543	3	0
MGI:1914553	3	0
MGI:1914554	3	0
MGI:1914556	3	0
MGI:1914558	2	1
MGI:1914561	1	0
MGI:1914562	3	0
MGI:1914565	2	0
MGI:1914566	3	0
MGI:1914567	3	0
MGI:1914569	3	0
MGI:1914571	3	0
MGI:1914574	3	0
MGI:1914575	3	0
MGI:1914576	1	0
MGI:1914577	3	0
MGI:1914579	3	0
MGI:1914580	3	0
MGI:1914585	3	0
MGI:1914586	3	0
MGI:1914589	3	0
MGI:1914590	3	0
MGI:1914592	3	0
MGI:1914593	3	0
MGI:1914598	3	0
MGI:1914599	3	0
MGI:1914600	3	0
MGI:1914601	3	0
MGI:1914602	3	0
MGI:1914605	3	0
MGI:1914606	3	0
MGI:1914607	3	0
MGI:1914608	3	0
MGI:1914610	3	0
MGI:1914614	3	0
MGI:1914616	1	0
MGI:1914635	3	0
MGI:1914642	3	0
MGI:1914644	3	0
MGI:1914660	3	0
MGI:1914662	3	0
MGI:1914666	2	0
MGI:1914669	3	0
MGI:1914679	2	0
MGI:1914680	3	0
MGI:1914681	2	0
MGI:1914683	3	0
MGI:1914689	2	1
MGI:1914704	1	0
MGI:1914706	1	0
MGI:1914707	1	0
MGI:1914708	1	0
MGI:1914717	3	0
MGI:1914721	1	0
MGI:1914729	1	0
MGI:1914730	1	0
MGI:1914733	2	0
MGI:1914736	5	0
MGI:1914745	1	0
MGI:1914753	3	0
MGI:1914757	3	0
MGI:1914759	2	0
MGI:1914760	1	0
MGI:1914765	3	0
MGI:1914766	3	0
MGI:1914768	3	0
MGI:1914772	3	0
MGI:1914773	3	0
MGI:1914774	3	0
MGI:1914781	3	0
MGI:1914787	1	0
MGI:1914789	2	0
MGI:1914790	3	0
MGI:1914791	3	0
MGI:1914792	1	0
MGI:1914798	3	0
MGI:1914800	3	0
MGI:1914801	3	0
MGI:1914803	1	0
MGI:1914815	1	0
MGI:1914816	1	0
MGI:1914820	3	0
MGI:1914825	3	0
MGI:1914826	3	0
MGI:1914830	2	0
MGI:1914833	3	0
MGI:1914835	3	0
MGI:1914836	1	0
MGI:1914837	3	0
MGI:1914839	3	0
MGI:1914841	2	0
MGI:1914842	3	0
MGI:1914843	3	0
MGI:1914856	2	1
MGI:1914858	1	0
MGI:1914859	1	0
MGI:1914861	2	0
MGI:1914870	2	1
MGI:1914872	2	0
MGI:1914873	1	0
MGI:1914877	2	0
MGI:1914885	3	0
MGI:1914886	2	1
MGI:1914887	3	0
MGI:1914888	3	0
MGI:1914889	3	0
MGI:1914890	3	0
MGI:1914891	3	0
MGI:1914892	3	0
MGI:1914893	3	0
MGI:1914894	3	0
MGI:1914895	2	0
MGI:1914896	3	0
MGI:1914897	3	0
MGI:1914898	3	0
MGI:1914901	3	0
MGI:1914906	3	0
MGI:1914908	3	0
MGI:1914909	3	0
MGI:1914913	3	0
MGI:1914918	3	0
MGI:1914922	3	0
MGI:1914929	3	0
MGI:1914936	3	0
MGI:1914937	3	0
MGI:1914938	3	0
MGI:1914942	3	0
MGI:1914945	1	0
MGI:1914948	3	0
MGI:1914955	1	0
MGI:1914956	2	0
MGI:1914958	3	0
MGI:1914965	3	0
MGI:1914968	3	0
MGI:1914969	2	0
MGI:1914972	2	0
MGI:1914973	3	0
MGI:1914979	3	0
MGI:1914982	1	0
MGI:1914984	3	0
MGI:1914985	3	0
MGI:1914986	1	0
MGI:1914987	2	0
MGI:1914990	3	0
MGI:1914991	3	0
MGI:1914995	3	0
MGI:1914996	3	0
MGI:1914998	3	0
MGI:1915000	3	0
MGI:1915015	3	0
MGI:1915017	1	0
MGI:1915019	1	0
MGI:1915020	2	0
MGI:1915026	1	0
MGI:1915036	3	0
MGI:1915039	1	0
MGI:1915041	3	0
MGI:1915045	9	0
MGI:1915047	2	0
MGI:1915053	2	0
MGI:1915057	1	0
MGI:1915058	1	0
MGI:1915062	1	0
MGI:1915066	3	0
MGI:1915068	2	1
MGI:1915079	2	0
MGI:1915081	3	0
MGI:1915086	11	8
MGI:1915087	1	0
MGI:1915091	6	5
MGI:1915096	1	0
MGI:1915100	3	0
MGI:1915104	3	0
MGI:1915109	1	0
MGI:1915112	2	0
MGI:1915114	1	0
MGI:1915116	3	2
MGI:1915122	1	0
MGI:1915125	1	0
MGI:1915149	3	1
MGI:1915159	1	0
MGI:1915162	2	0
MGI:1915175	3	0
MGI:1915177	3	0
MGI:1915179	2	0
MGI:1915180	3	0
MGI:1915182	3	0
MGI:1915184	3	0
MGI:1915187	3	0
MGI:1915189	3	0
MGI:1915194	3	0
MGI:1915205	2	1
MGI:1915208	1	0
MGI:1915219	3	0
MGI:1915226	3	0
MGI:1915233	3	0
MGI:1915234	3	0
MGI:1915248	2	1
MGI:1915251	1	0
MGI:1915254	1	0
MGI:1915259	3	2
MGI:1915283	1	0
MGI:1915286	1	0
MGI:1915287	3	0
MGI:1915296	3	0
MGI:1915301	2	1
MGI:1915309	1	0
MGI:1915315	1	0
MGI:1915324	3	0
MGI:1915325	1	0
MGI:1915329	2	0
MGI:1915340	1	0
MGI:1915344	9	0
MGI:1915353	3	0
MGI:1915358	3	1
MGI:1915359	1	0
MGI:1915362	1	0
MGI:1915371	1	0
MGI:1915377	3	0
MGI:1915378	3	0
MGI:1915387	8	7
MGI:1915390	1	0
MGI:1915393	2	0
MGI:1915394	3	0
MGI:1915402	2	0
MGI:1915407	3	0
MGI:1915411	3	0
MGI:1915412	3	0
MGI:1915413	3	0
MGI:1915414	3	0
MGI:1915415	2	1
MGI:1915418	3	0
MGI:1915423	3	0
MGI:1915424	3	0
MGI:1915425	3	0
MGI:1915427	2	0
MGI:1915436	3	0
MGI:1915437	1	0
MGI:1915438	2	1
MGI:1915439	3	0
MGI:1915440	6	5
MGI:1915441	3	0
MGI:1915444	3	2
MGI:1915450	4	3
MGI:1915451	3	0
MGI:1915454	3	0
MGI:1915456	3	0
MGI:1915457	3	0
MGI:1915458	3	0
MGI:1915462	1	0
MGI:1915466	3	0
MGI:1915468	3	0
MGI:1915470	3	0
MGI:1915473	3	0
MGI:1915474	3	0
MGI:1915475	3	0
MGI:1915476	3	2
MGI:1915477	3	0
MGI:1915478	3	0
MGI:1915479	3	0
MGI:1915480	3	0
MGI:1915482	3	0
MGI:1915483	3	0
MGI:1915485	2	1
MGI:1915486	3	0
MGI:1915488	3	0
MGI:1915489	1	0
MGI:1915493	2	0
MGI:1915495	3	0
MGI:1915498	3	0
MGI:1915501	2	1
MGI:1915514	3	0
MGI:1915519	3	0
MGI:1915521	3	0
MGI:1915524	1	0
MGI:1915533	3	0
MGI:1915535	3	0
MGI:1915545	2	0
MGI:1915546	1	0
MGI:1915553	2	0
MGI:1915556	3	0
MGI:1915561	1	0
MGI:1915564	3	0
MGI:1915572	1	0
MGI:1915573	1	0
MGI:1915577	1	0
MGI:1915582	2	1
MGI:1915594	3	0
MGI:1915597	3	0
MGI:1915602	1	0
MGI:1915604	3	0
MGI:1915609	1	0
MGI:1915614	3	0
MGI:1915618	3	0
MGI:1915619	3	0
MGI:1915623	3	0
MGI:1915626	3	0
MGI:1915630	3	0
MGI:1915636	3	0
MGI:1915641	1	0
MGI:1915644	3	0
MGI:1915647	3	0
MGI:1915650	3	0
MGI:1915652	3	0
MGI:1915659	3	0
MGI:1915664	3	0
MGI:1915667	3	0
MGI:1915683	3	0
MGI:1915684	3	0
MGI:1915687	3	0
MGI:1915689	2	0
MGI:1915702	3	0
MGI:1915714	3	0
MGI:1915716	3	0
MGI:1915719	3	0
MGI:1915726	3	0
MGI:1915730	2	0
MGI:1915732	3	0
MGI:1915733	3	0
MGI:1915734	2	0
MGI:1915737	3	0
MGI:1915738	3	0
MGI:1915740	1	0
MGI:1915743	3	2
MGI:1915748	1	0
MGI:1915749	3	1
MGI:1915750	3	0
MGI:1915753	3	0
MGI:1915755	8	7
MGI:1915759	3	0
MGI:1915761	2	0
MGI:1915765	2	0
MGI:1915766	3	0
MGI:1915770	3	0
MGI:1915771	2	0
MGI:1915772	3	0
MGI:1915776	1	0
MGI:1915779	3	0
MGI:1915781	3	0
MGI:1915783	1	0
MGI:1915802	2	1
MGI:1915804	3	0
MGI:1915809	3	0
MGI:1915817	2	0
MGI:1915821	3	0
MGI:1915834	3	0
MGI:1915841	1	0
MGI:1915844	3	0
MGI:1915850	3	0
MGI:1915861	2	1
MGI:1915864	2	1
MGI:1915868	3	0
MGI:1915879	3	0
MGI:1915882	2	1
MGI:1915884	2	0
MGI:1915885	3	0
MGI:1915887	3	0
MGI:1915905	9	8
MGI:1915906	1	0
MGI:1915909	2	0
MGI:1915912	2	1
MGI:1915922	3	0
MGI:1915934	3	0
MGI:1915936	3	0
MGI:1915940	3	0
MGI:1915942	3	0
MGI:1915943	1	0
MGI:1915944	2	0
MGI:1915945	1	0
MGI:1915947	3	0
MGI:1915951	1	0
MGI:1915963	8	7
MGI:1915964	2	1
MGI:1915970	3	0
MGI:1915971	2	0
MGI:1915975	3	0
MGI:1915977	3	0
MGI:1915981	2	0
MGI:1915986	1	0
MGI:1915990	3	0
MGI:1915992	3	0
MGI:1916001	3	0
MGI:1916013	3	0
MGI:1916020	2	0
MGI:1916021	3	0
MGI:1916024	2	0
MGI:1916027	2	0
MGI:1916028	3	0
MGI:1916031	3	0
MGI:1916036	3	0
MGI:1916039	3	0
MGI:1916041	3	0
MGI:1916046	2	0
MGI:1916047	3	0
MGI:1916050	3	0
MGI:1916058	3	0
MGI:1916064	3	0
MGI:1916071	1	0
MGI:1916091	3	0
MGI:1916094	3	0
MGI:1916102	3	0
MGI:1916104	1	0
MGI:1916109	1	0
MGI:1916115	4	3
MGI:1916124	2	0
MGI:1916125	1	0
MGI:1916130	3	0
MGI:1916138	3	2
MGI:1916143	3	0
MGI:1916148	3	0
MGI:1916155	3	0
MGI:1916157	3	0
MGI:1916168	3	0
MGI:1916170	3	0
MGI:1916173	3	0
MGI:1916174	3	0
MGI:1916186	3	0
MGI:1916195	3	0
MGI:1916196	3	0
MGI:1916198	3	0
MGI:1916204	3	0
MGI:1916206	3	0
MGI:1916218	8	7
MGI:1916219	1	0
MGI:1916228	3	0
MGI:1916230	2	0
MGI:1916232	3	0
MGI:1916236	3	0
MGI:1916244	3	0
MGI:1916252	3	0
MGI:1916255	3	0
MGI:1916275	3	0
MGI:1916280	3	0
MGI:1916281	3	0
MGI:1916283	3	0
MGI:1916286	9	4
MGI:1916288	1	0
MGI:1916292	3	0
MGI:1916294	3	0
MGI:1916300	3	0
